Balanza,Operario,Peso,Angulo
Acrilico,Fabian,50,73
MDF,Obregon,50,58
MDF,Borloz,10,12
Acrilico,Obregon,100,77
Acrilico,Fabian,50,70
Acrilico,Obregon,25,61
MDF,Borloz,25,45.5
Acrilico,Borloz,25,59.5
MDF,Borloz,100,63.5
Acrilico,Borloz,50,69
Acrilico,Obregon,50,70
MDF,Obregon,50,54.5
Acrilico,Borloz,50,70.5
MDF,Borloz,50,56.5
MDF,Borloz,10,13
MDF,Obregon,25,45.5
MDF,Fabian,50,52.5
Acrilico,Borloz,25,59.5
MDF,Fabian,100,61.5
MDF,Fabian,10,11.5
Acrilico,Borloz,10,21
Acrilico,Obregon,10,21
Acrilico,Fabian,100,81.5
MDF,Fabian,25,44
Acrilico,Borloz,50,70
MDF,Fabian,50,53
Acrilico,Obregon,100,79
MDF,Borloz,50,53
Acrilico,Obregon,50,70
Acrilico,Borloz,100,76
Acrilico,Fabian,25,60
Acrilico,Fabian,50,69.5
MDF,Fabian,50,58.5
Acrilico,Obregon,10,21
MDF,Fabian,25,45
MDF,Obregon,100,68
Acrilico,Fabian,100,77
MDF,Obregon,25,45.5
MDF,Fabian,10,10.5
Acrilico,Borloz,25,61
Acrilico,Fabian,10,21
MDF,Fabian,100,62
MDF,Fabian,10,11
MDF,Borloz,100,61
Acrilico,Fabian,100,76.5
MDF,Borloz,25,45
MDF,Borloz,50,55
MDF,Fabian,100,61.5
MDF,Obregon,10,12.5
MDF,Obregon,10,13
MDF,Fabian,25,43.5
Acrilico,Obregon,100,77.5
MDF,Obregon,100,65
MDF,Obregon,10,12
Acrilico,Borloz,100,81
Acrilico,Fabian,25,60
MDF,Borloz,100,62
Acrilico,Borloz,10,21
MDF,Borloz,10,12
MDF,Obregon,25,46
Acrilico,Fabian,25,60.5
Acrilico,Obregon,25,60.5
Acrilico,Borloz,100,74.5
Acrilico,Obregon,10,21
Acrilico,Fabian,10,21.5
MDF,Obregon,100,64
MDF,Obregon,50,55
Acrilico,Obregon,25,60
Acrilico,Obregon,50,70
Acrilico,Fabian,10,20.5
Acrilico,Borloz,10,21.5
MDF,Borloz,25,46
